Date;Open;High;Low;Close;Adj Close;Volume
06/08/2018;92.260002;92.500000;91.459999;92.040001;92.040001;276176
07/08/2018;92.260002;93.900002;92.059998;93.139999;93.139999;414148
08/08/2018;92.959999;93.599998;92.419998;93.559998;93.559998;380872
09/08/2018;93.599998;95.320000;93.260002;95.300003;95.300003;365619
10/08/2018;94.760002;95.120003;93.559998;94.339996;94.339996;346353
13/08/2018;93.800003;93.940002;92.940002;92.959999;92.959999;264122
14/08/2018;93.400002;94.059998;92.820000;93.040001;93.040001;147662
15/08/2018;93.279999;93.699997;91.459999;91.959999;91.959999;265509
16/08/2018;92.260002;92.839996;91.760002;92.739998;92.739998;212261
17/08/2018;92.500000;93.160004;91.760002;92.820000;92.820000;246931
20/08/2018;92.000000;93.279999;91.820000;92.400002;92.400002;298845
21/08/2018;92.260002;92.760002;91.419998;91.580002;91.580002;261114
22/08/2018;91.599998;93.459999;91.559998;92.639999;92.639999;333895
23/08/2018;92.820000;93.320000;92.440002;92.660004;92.660004;246473
24/08/2018;92.620003;93.739998;92.540001;93.739998;93.739998;252366
27/08/2018;94.000000;95.160004;94.000000;94.720001;94.720001;215159
28/08/2018;95.000000;95.099998;94.180000;94.180000;94.180000;242827
29/08/2018;94.339996;94.699997;92.779999;92.779999;92.779999;307988
30/08/2018;92.779999;92.860001;91.180000;91.500000;91.500000;255982
31/08/2018;91.279999;91.639999;89.680000;89.680000;89.680000;174960
03/09/2018;89.739998;89.739998;88.699997;89.639999;89.639999;224451
04/09/2018;89.800003;90.860001;89.220001;90.660004;90.660004;404722
05/09/2018;90.360001;90.779999;89.580002;89.580002;89.580002;314409
06/09/2018;89.000000;89.459999;85.040001;88.239998;88.239998;945395
07/09/2018;87.599998;87.620003;85.419998;86.160004;86.160004;445060
10/09/2018;86.160004;87.599998;85.900002;87.500000;87.500000;321880
11/09/2018;87.500000;88.160004;87.160004;87.620003;87.620003;284582
12/09/2018;87.879997;89.440002;87.779999;89.379997;89.379997;257210
13/09/2018;89.279999;90.440002;89.040001;89.940002;89.940002;238671
14/09/2018;90.779999;92.300003;90.519997;91.779999;91.779999;416863
17/09/2018;91.800003;91.860001;90.959999;91.199997;91.199997;258587
18/09/2018;91.199997;93.120003;91.139999;92.279999;92.279999;308669
19/09/2018;92.199997;92.459999;91.980003;92.160004;92.160004;183918
20/09/2018;92.139999;94.019997;92.139999;93.080002;93.080002;338599
21/09/2018;93.180000;93.959999;92.180000;92.180000;92.180000;549402
24/09/2018;92.019997;93.040001;92.000000;92.239998;92.239998;188615
25/09/2018;92.040001;92.660004;91.760002;92.379997;92.379997;278185
26/09/2018;92.099998;92.099998;89.400002;90.139999;90.139999;388012
27/09/2018;89.900002;91.900002;89.779999;91.459999;91.459999;209945
28/09/2018;90.239998;91.900002;90.099998;91.339996;91.339996;351274
01/10/2018;91.239998;91.820000;91.040001;91.620003;91.620003;297094
02/10/2018;91.080002;91.760002;90.699997;90.800003;90.800003;288469
03/10/2018;90.400002;90.699997;88.699997;89.699997;89.699997;398267
04/10/2018;89.379997;89.839996;88.040001;88.120003;88.120003;401191
05/10/2018;88.099998;88.599998;87.199997;87.500000;87.500000;243795
08/10/2018;87.080002;87.379997;86.279999;86.639999;86.639999;276449
09/10/2018;86.599998;88.360001;86.360001;88.300003;88.300003;322248
10/10/2018;88.260002;88.320000;86.260002;86.860001;86.860001;306317
11/10/2018;86.000000;87.720001;85.680000;87.040001;87.040001;459456
12/10/2018;88.000000;88.099998;87.260002;87.279999;87.279999;260458
15/10/2018;86.860001;87.260002;86.500000;87.040001;87.040001;174196
16/10/2018;87.440002;88.660004;87.139999;88.500000;88.500000;262774
17/10/2018;88.900002;89.940002;87.660004;87.800003;87.800003;353604
18/10/2018;87.839996;88.519997;87.040001;87.120003;87.120003;292439
19/10/2018;86.900002;87.120003;85.440002;86.779999;86.779999;313394
22/10/2018;87.180000;87.699997;85.820000;85.820000;85.820000;234812
23/10/2018;85.019997;85.779999;84.820000;85.139999;85.139999;284186
